oly_rightslineItemId,Entity Title,Title Code,Associated Deals ID,oly_contentType,Direct Parent Catalog Item ID,Top Parent Catalog Item ID,Cast,oly_descriptionEn,oly_descriptionEs,Directors,Duration,Episode Number,First Use Date,oly_logLineEn,oly_logLineEs,Producer,Rating MPAA,Rating RTC,Rating TV-US,Ready for Air Date,Season Number,oly_shortDescriptionEn,oly_shortDescriptionEs,oly_socialDescriptionEn,oly_socialDescriptionEs,oly_titleEn,oly_titleEs,Closed Caption Version Available,Countries,Genres,If Closed Caption provided in what language?,Original Language,Original Title,Previously broadcast on TV in US with closed captions,Production Company,Tags,Year,Number of Episodes,Number of Seasons,Contract Duration (Minutes),Contract TRT Hours,Editor's Notes,Link Clip,Link Promo,Link Trailer,TRT Minutes,Total Hours,Accepted Date,Asset Status,Content Received Date,File Run Time,Format,Rejected Date,Replaced Date,oly_title Alias English,oly_title Alias Spanish,Time Code
57,#Mi Huida,MMHUDA1,460,Movie,,,Mohammad Ghunaim|Addullah Ghunaim|Omar Al-Sawadi|Hamber Alissa|Wedi Keshi,,"Cientos de miles de personas buscan refugio en Alemania. Las cifras y las dramáticas vivencias de muchos son tan excepcionales como el hecho de que las rutas de tránsito de los refugiados sean documentadas directamente en video por los mismos desplazados. Para la mayoría, el teléfono celular es un medio vital para organizar su viaje. Además, en él transportan recuerdos de la vida que han dejado atrás, así como imágenes de las etapas de su odisea. En las redes sociales circulan infinidad de clips filmados en plena ruta, relatos de una huida narrados desde el epicentro de la marea de emigrantes. El reportaje #MiHuida ha recopilado crónicas del éxodo: imágenes de las patrias de los refugiados, su despedida y las etapas de la huida Los desplazados comentan el material fílmico en detalladas entrevistas. Así surge una imagen totalmente fidedigna de la realidad de las personas que han abandonado su patria y se arriesgan a un destino incierto en busca de seguridad",Dr. Arno Hefner,,,,,,Dr. Arno Hefner,,,TV-14,,,,Con ayuda de videos grabados con sus celulares los refugiados documentan su huida y su llegada a Alemania.,,,,#Mi Huida,,Germany,Documentary|History,,,#Mi Huida,,"Berlin Producers, WDR, DW, DW Transtel",TV Movie,2016,,,30,,,,,,,0.5,,,,,HD,,,,#Mi Huida,
1554,009-1: The End Of The Beginning,M0TEOT1,,Movie,,,Mayuko Iwasa,"In 20xx, the world is divided into two powers: the Western Block and the Eastern Block. Serving as a border zone between the two is ""J-Country."" As such, it is used as a battleground. Mylene, an undercover agent from the western block, has been hiding out in J-Country. Spurred by the increasing flashes of memories locked away within her, she sets out on a mission of her own: to take back her memories and learn who she really is.",,Koichi Sakamoto,,,,,,,,,TV-14,,,,,,,009-1: The End Of The Beginning,,,,Action|Science Fiction,,,,,,TV Movie,2013,,,,,,,,,,,,,,,HD,,,,,
279,03:34 Terremoto En Chile,M0TECH1,,Movie,,,Loreto Aravena|Andrea Freund|Marcelo Alonso,,"Tres historias diferentes pero conectadas entre sí que se producen como consecuencia del terremoto de 8,8 grados de magnitud devastadora que sacudió a Chile en febrero del 2010.",Juan Pablo Ternicier,,,,,,Various Producers,,,TV-14,,,,,,,,03:34 Terremoto En Chile,,Chile,Action|Drama,,,,,Baywood,TV Movie,2011,,,,,,,,,,,,,,,HD,,,,,
1939,1 Message,M1MESS1,,Movie,,,Juliana Allen|Matt Wallace|Ashley Kate Adams,"1 Message tells the story of Becca, a beautiful 28 year-old woman whose perfect life is brought to an abrupt halt after she accidentally discovers a lump in her breast.",,Jefferson Moore,,,,,,Jefferson Moore,,,TV-PG,,,The perfect life of Becca is brought to an abrupt halt after she accidentally discovers a lump in her breast.,,,,1 Message,,,United States,Drama,,English,,,Kellys Filmworks,TV Movie,2011,,,,,,,,,,,,,,,HD,,,,,
3989,10 Things You Never Knew About One Of Our Nation's Founding Fathers,S1TYNK1,,Series,,,Various Cast,"Hosted by Travis Bowman, a direct descendant of Peter Francisco, this documentary uncovers the untold mysterious story of this giant from the Revolution.  Travis takes you to key historic sites, reveals five monuments in Peter's honor and interviews numer",,Various Director,,,,,,Travis Bowman,,,TV-PG,,,,,,,10 Things You Never Knew About One Of Our Nation's Founding Fathers,,,United States,Documentary,,,,,Not Available,Series,2011,,,,,,,,,,,,,,,HD,,,,,
5785,10 Things You Never Knew About One Of Our Nation's Founding Fathers | Season 1,S1TYNK1S1,,Season,3989,3989,,,,,,,,,,,,,TV-PG,,1,,,,,10 Things You Never Knew About One Of Our Nation's Founding Fathers (Season 01),,,,Documentary,,,,,,,,,,,,,,,,,,,,,,HD,,,,,01:30:25;07
15935,10 Things You Never Knew About One Of Our Nation's Founding Fathers | Season 1 | Episode 1,S1TYNK1S1E1,,Episode,5785,3989,,"Hosted by Travis Bowman, a direct descendant of Peter Francisco, this documentary uncovers the untold mysterious story of this giant from the Revolution.  Travis takes you to key historic sites, reveals five monuments in Peter's honor and interviews numer",,,,1,,,,,,,TV-PG,,,,,,,10 Things You Never Knew About One Of Our Nation's Founding Fathers,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,The Peter Francisco Story,,
3730,100 Greatest Poker Moments,S1GPMO1,,Series,,,,,,,,,,,,,,,TV-14,,,,,,,100 Greatest Poker Moments,,,,,,,,,,Series,,,,,,,,,,,,,,,,HD,,,,,
5161,100 Greatest Poker Moments | Season 1,S1GPMO1S1,890,Season,3730,3730,,,,,,,,,,,,,TV-14,,1,,,,,100 Greatest Poker Moments (Season 01),,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
13808,100 Greatest Poker Moments | Season 1 | Episode 1,S1GPMO1S1E1,890,Episode,5161,3730,,,,,,1,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
24337,100 Greatest Poker Moments | Season 1 | Episode 2,S1GPMO1S1E2,890,Episode,5161,3730,,,,,,2,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
24846,100 Greatest Poker Moments | Season 1 | Episode 3,S1GPMO1S1E3,890,Episode,5161,3730,,,,,,3,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,00:45:35;12
14844,100 Greatest Poker Moments | Season 1 | Episode 4,S1GPMO1S1E4,890,Episode,5161,3730,,,,,,4,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
21116,100 Greatest Poker Moments | Season 1 | Episode 5,S1GPMO1S1E5,890,Episode,5161,3730,,,,,,5,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
8828,100 Greatest Poker Moments | Season 1 | Episode 6,S1GPMO1S1E6,890,Episode,5161,3730,,,,,,6,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
20927,100 Greatest Poker Moments | Season 1 | Episode 7,S1GPMO1S1E7,890,Episode,5161,3730,,,,,,7,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,
24989,100 Greatest Poker Moments | Season 1 | Episode 8,S1GPMO1S1E8,890,Episode,5161,3730,,,,,,8,,,,,,,TV-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,02:08:20;17
299,100 Kilos De Plomo,M1KDPL1,765,Movie,,,Eric Del Castillo|Jorge Aldama,"Based on real life events, this story presents how the life of a small town is affected by a group of bandits.","Basada en hechos de la vida real, esta historia presenta como los habitantes de un pueblo se ven afectados por un grupo de desalmados.",Raymundo Calixto,,,,,,César Balestra,,,TV-14,,,,,,,,100 Kilos De Plomo,,Mexico,Action|Drama|Western,,,,,Internalasas S.A. de C.V.,Mexican TV Movie,2002,,,,,,,,,,,,,,,HD,,,,,
77777,entityTitle,titleCode,associatedDealsId,oly_contentType,blah,blah,cast,oly_descriptionEn,"oly_descriptionEs ""blah"" 'blah blah' """"blah blah beep"""""""""""""""",''''"""""""""""", ",directors,blah,777,4/16/24,oly_logLineEn,oly_logLineEs,Tang Kanjanapitak,RRRR,SSSS,TTTT,4/17/24,9999,oly_shortDescriptionEn,oly_shortDescriptionEs,oly_socialDescriptionEN,oly_socialDescriptionEs,oly_titleEn,oly_titleEs,closed caption version,countryOfOrigin,Action|Drama|Western|Comedy|Tang|JC Sierra|Olympusat,language of cc,English,originalTitle,previous broadcast on TV,Ocean Media,"TV Movie,Blah",2024,777,333,blah,blah,"editors notes blah blah blah
fdflasdkjf dskfois a;dsf asdiewofn",www.tang&ryanshow.com,www.olympusat.com,www.trailer.com,blah,blah,blah,blah,blah,blah,HD,blah,blah,title alias en,title alias spanish,01:28:27;07